Domanda,Opzione1,Opzione2,Opzione3,Opzione4,Corretta
In quale situazione specifica la finalizzazione amministrativa del progetto richiede un incontro straordinario con il fornitore per rivedere le penali contrattuali non ancora definite,È indispensabile se il fornitore è già stato pagato senza report finale,È necessaria qualora ci siano milestone di consegna mai approvate formalmente,È irrilevante poiché le penali possono essere discusse nella fase di avvio,È obbligatoria unicamente se il contratto non prevedeva lo scope dei deliverable,B
Come può il project manager garantire la creazione di un archivio storico efficace durante la chiusura se l azienda non possiede un sistema di gestione documentale centralizzato,Può imporre una raccolta di dati soltanto in forma cartacea,Può usare piattaforme multiple e riunirle manualmente in un file locale,Può predisporre una struttura di cartelle condivise con criteri rigorosi di nomenclatura,Può rinunciare all archivio se i risultati sono stati consegnati al cliente,C
Quale evento richiede l approvazione scritta da parte del cliente per sancire la conclusione formale del progetto dopo aver consegnato i deliverable concordati,Una semplice chiamata telefonica di conferma,Una riunione informale con il team tecnico,Una mail di validazione con evidenza di accettazione esplicita,Un audit interno condotto dal PMO,C
In quale circostanza la chiusura amministrativa del progetto può essere ritardata a causa di un incompleto passaggio di consegne alle funzioni operative,Quando il team di progetto ha già iniziato un nuovo progetto,Quando mancano i moduli formali di certificazione del prodotto trasferito in esercizio,Quando il contratto con il fornitore esterno è stato firmato prima della pianificazione,Quando i principali stakeholder hanno abbandonato il progetto,B
Come si definisce il processo di revisione finale in cui vengono analizzate in dettaglio tutte le criticità emerse e i risultati ottenuti prima di archiviare il progetto,È la valutazione delle performance del personale di linea,È la close out meeting focalizzata sulle lesson learned,È la sola approvazione del PMO senza coinvolgimento esterno,È l analisi dei rischi post progetto che annulla i contratti,B
Quale di questi elementi risulta essenziale affinché la chiusura del contratto sia considerata completa se sono state previste clausole di aggiornamento tecnologico,La consegna verbale di tutte le password,La firma di un addendum contrattuale che specifichi la responsabilità sul futuro aggiornamento,La riduzione del budget finale in base all inflazione corrente,La comunicazione di ringraziamento al cliente,B
Cosa accade se durante la fase di chiusura del progetto emergono nuovi requisiti richiesti dal cliente dopo l accettazione formale dei deliverable,Si apre un nuovo progetto o un change request separato,Si ignorano le richieste perché il progetto è chiuso,Si riassegna il budget interno precedente,Si annulla la documentazione già prodotta,A
Come può il responsabile di progetto gestire la fase di lesson learned se i principali stakeholder interni non vogliono partecipare al meeting di chiusura,Può imporre sanzioni economiche,Può delegare il compito a un consulente esterno,Può programmare sessioni individuali di feedback e documentarle in un report condiviso,Può rinunciare alle lesson learned trattandole come non obbligatorie,C
Quale documento deve essere firmato dal cliente per sancire la conclusione formale del progetto se esistono vincoli legali sulle modalità di accettazione,Un verbale di collaudo e accettazione finale del deliverable,Un piano di comunicazione condiviso con il team,Un change log con tutte le modifiche rifiutate,Un piano di miglioramento continuo futuro,A
In che modo il project manager gestisce i contratti in sospeso durante la chiusura se i fornitori non hanno rispettato alcune milestone secondarie,Deve aprire un nuovo ciclo di pianificazione extra,Deve procedere con la chiusura parziale lasciando le milestone in sospeso,Deve avviare un processo di claim management con eventuali negoziazioni finali,Deve dichiarare il fornitore inadempiente senza alcuna formalità,C
Perché è necessario formalizzare il passaggio di consegne alle funzioni operative prima di completare la chiusura amministrativa,Per riassegnare le licenze software scadute,Per garantire la corretta manutenzione e supporto post progetto,Per annullare tutti i costi a carico del reparto vendite,Per definire un indice di performance sul team di progetto,B
Qual è l aspetto critico della chiusura contrattuale se i report finali di collaudo evidenziano difetti minori non corretti ma accettati dal cliente,È la mancata disponibilità del manager funzionale,È l impossibilità di chiudere la fase di avvio,È il rischio di future contestazioni se non c è un accordo scritto sull accettazione di difetti,È l obbligo di integrare un subfornitore,C
Cosa deve essere incluso nelle lesson learned secondo quanto riportato nel documento di chiusura se l intero progetto è stato eseguito in anticipo rispetto al piano,Un registro dei rischi non più rilevanti,Una valutazione di tutti i fattori che hanno permesso di guadagnare tempo prezioso,Una proposta di budget aggiuntivo,Una soluzione hardware predefinita per i progetti futuri,B
In quale situazione la riunione di chiusura può essere sostituita da un semplice scambio di email se l organizzazione ha procedure molto flessibili,Quando l intero team è in smart working e non esistono requisiti di quality gate,Quando è già partita la fase di avvio di un nuovo progetto correlato,Quando i deliverable hanno un impatto operativo molto limitato e lo stakeholder approva formalmente in forma scritta,Quando la baseline dei costi non è stata rispettata a monte,C
Come si procede alla chiusura del progetto se il principale sponsor si ritira prima dell accettazione finale,Si nomina un nuovo sponsor che approvi la documentazione finale,Si blocca il progetto senza formalizzare la consegna,Si annullano i deliverable e si apre un contenzioso legale,Si ignora l assenza dello sponsor perché non era coinvolto nei contratti,A
Quale ruolo fondamentale svolge il knowledge base aziendale una volta terminato il processo di chiusura,Definisce il piano di esecuzione della fase successiva,Traccia tutti i fornitori inadempienti per cause legali,Supporta progetti futuri attingendo a dati storici e lesson learned,È un archivio temporaneo da eliminare dopo sei mesi,C
Che cosa avviene se nella riunione di chiusura (close out meeting) emerge che alcuni deliverable non sono stati ufficialmente collaudati,La chiusura si annulla e si rientra in fase di esecuzione per completare il collaudo,La riunione prosegue ignorando la mancanza,Si decide di creare un test plan durante la chiusura,Si sottopone la questione al PMO per la fase di avvio del progetto successivo,A
Durante la chiusura come si gestiscono contratti multipli con fornitori secondari se uno di loro non ha ancora emesso la fattura finale,Si procede alla chiusura parziale ignorando la fattura,Si accumulano le fatture in un unico registro per la prossima fase di controllo,Si mantiene la chiusura aperta solo per la parte amministrativa fino all arrivo della fattura,Si scalano i costi sul budget di un altro progetto,C
In che modo il project manager si assicura che le risorse umane possano rientrare nell organico aziendale dopo la conclusione del progetto senza creare disagi,Prevede un passaggio formale di scarico delle risorse definendo le attività residue,Non deve occuparsene perché riguarda solo la funzione HR,Chiede una consulenza esterna,Attende la chiusura dei contratti di fornitura principale,A
Qual è lo scopo di un eventuale audit finale sul progetto durante la fase di chiusura,Verificare se il project manager ha rispettato tutti i giorni di ferie del team,Analizzare i processi seguiti e i risultati ottenuti in termini di conformità a standard e procedure,Redigere un piano di risk management retroattivo,Bloccare la transizione delle risorse verso altri reparti,B
Cosa accade se il cliente non accetta formalmente i deliverable ma ne fa comunque uso da tempo superando la fase di test,Si considerano i deliverable non consegnati e si riapre la pianificazione,Si presume un accettazione tacita ma si consiglia di ottenere comunque un documento formale per evitare dispute future,Si annulla il risultato e si chiede un arbitrato,Si fanno pagare penali di ritardo nella chiusura,B
Come si classificano le attività necessarie a sistemare documenti mancanti o incompleti prima di archiviare definitivamente il progetto,Si tratta di azioni di procurement,Si parla di attività di validazione tardiva,Si parla di task di completamento amministrativo,Si devono considerare come change request con nuovi requisiti,C
Cosa implica la presenza di un claim aperto per penali da ritardo sulla tabella di marcia in fase di chiusura,Non è possibile archiviare la documentazione,È possibile completare comunque la chiusura amministrativa senza risolvere il claim,È necessario negoziare o risolvere il claim prima di chiudere formalmente il contratto,Si trasferisce il claim in un nuovo progetto per non ritardare la chiusura,C
Quale scopo ha l analisi retrospettiva durante il close out meeting se il progetto ha superato di molto il budget,Definire colpe specifiche nel team e imporre sanzioni,Analizzare le cause dei costi eccessivi e proporre spunti di miglioramento,Redigere un nuovo Gantt con attività future,Chiedere al cliente di firmare un pagamento extra,B
Perché la formalizzazione delle lesson learned è considerata un elemento chiave di valore anche a distanza di anni dalla fine del progetto,Per ridurre le ore di formazione obbligatorie,Per calcolare la redditività del progetto senza coinvolgere i manager,Per riutilizzare l esperienza in progetti successivi ottimizzando tempi e costi,Per controllare la validità legale del contratto nel caso di reclami futuri,C
In che modo si può garantire un efficace trasferimento delle conoscenze se diversi membri del team abbandonano l azienda immediatamente dopo la chiusura,Inserendo tutte le informazioni chiave in un repository condiviso prima che i membri lascino l azienda,Chiedendo al top management di prorogare i contratti,Affidandosi solo a sessioni orali con i nuovi assunti,Archiviando i documenti in modo sparso tra cartelle individuali,A
Qual è il rischio principale se la chiusura del contratto con un subappaltatore avviene senza una revisione delle spese effettive sostenute rispetto a quelle pianificate,Non esiste alcun rischio se il subappaltatore ha consegnato,Si rischia di pagare cifre non dovute o non conformi alle clausole,Si garantisce un risparmio certo a posteriori,Si ottiene una riduzione del tempo di completamento,B
Come definire la priorità nel creare il report di chiusura finale se emergono contemporaneamente impegni di un nuovo progetto,Si interrompe il nuovo progetto fino a completamento del report,Si affida il report di chiusura a un membro junior del team senza controllo,Si assegna priorità al report di chiusura per non perdere la visibilità delle informazioni e delle lesson learned,Si rinvia la chiusura a data indefinita,C
Cosa succede se al termine delle attività il cliente esige la consegna di un ulteriore deliverable non contrattualizzato,Si considera un errore di avvio e si riformula il project charter,Si apre una trattativa per un eventuale nuovo contratto o si rifiuta se non coperto da scope,Si eseguono comunque le attività per mantenere la soddisfazione del cliente,Si usa il budget residuo per implementare il nuovo deliverable,B
Qual è il valore di organizzare un incontro post mortem dopo la firma di accettazione finale da parte del cliente,Non c è alcun valore aggiunto perché il progetto è chiuso,Serve per correggere in ritardo le carenze tecniche,Permette di riflettere sulle performance del team e documentare le lezioni apprese,Impone un audit legale sulle attività di ciascun fornitore,C
Come gestire la chiusura amministrativa se alcune risorse chiave del progetto sono già state riallocate altrove e non sono disponibili per finalizzare la documentazione,Si rinvia la chiusura a tempo indefinito,Si cerca di completare il tutto senza consultare le risorse assenti,Si richiede la collaborazione da remoto delle risorse mancanti o si trovano sostituti interni,Si invia un report incompleto al PMO sperando in un approvazione forzata,C
In presenza di un fornitore che contesta la mancata esecuzione di un collaudo aggiuntivo prima della chiusura quale azione è necessaria,Ignorare la contestazione se il budget è già esaurito,Aprire un nuovo progetto dedicato al collaudo,Analizzare i documenti contrattuali e se previsto eseguire il collaudo prima di completare la chiusura,Procedere alla chiusura forzata del contratto,C
